Company_Full_Name,Shariah,Sector,Company_Key
MAINCB INDUSTRIAL PRODUCT HOLDING BERHAD,Yes,"Industrial Materials, Components & Equipment",6596
LEAPCC INTERNATIONAL BERHAD,No,Consumer Services,7721
MAINCCK CONSOLIDATED HOLDINGS BERHAD,Yes,Food & Beverages,9447
ACECEKD BERHAD,Yes,"Industrial Materials, Components & Equipment",4606
ACECENGILD MEDICAL BERHAD,Yes,Health Care Providers,1709
MAINCENSOF HOLDINGS BERHAD,Yes,Software,4441
MAINCEPATWAWASAN GROUP BERHAD,Yes,Plantation,2569
MAINCONCRETE ENGINEERING PRODUCTS BERHAD,Yes,Building Materials,4272
LEAPCE TECHNOLOGY BERHAD,Yes,Industrial Services,6104
MAINCOMPUTER FORMS (MALAYSIA,Yes,Industrial Services,2097
MAINCENTRAL GLOBAL BERHAD,Yes,Packaging Materials,2719
MAINCHEETAH HOLDINGS BERHAD,No,Personal Goods,7072
MAINCHIN HIN GROUP PROPERTY BERHAD,Yes,Transportation Equipment,6148
MAINCOUNTRY HEIGHTS HOLDINGS BHD,Yes,Property,6808
MAINCHIN HIN GROUP BERHAD,Yes,Building Materials,5042
MAINCHIN TECK PLANTATIONS BERHAD,No,Plantation,4682
MAINCHIN WELL HOLDINGS BERHAD,Yes,"Industrial Materials, Components & Equipment",6156
MAINCHOO BEE METAL INDUSTRIES BHD,Yes,Metals,6421
MAINCHUAN HUAT RESOURCES BHD,Yes,Building Materials,6850
MAINC.I. HOLDINGS BERHAD,Yes,Food & Beverages,1258
MAINCIMB GROUP HOLDINGS BERHAD,No,Banking,1843
MAINCITAGLOBAL BERHAD,Yes,Metals,5477
MAINCJ CENTURY LOGISTICS HOLDINGS BERHAD,Yes,Transportation & Logistics Services,9000
MAINCAPITALAND MALAYSIA TRUST,No,Real Estate Investment Trusts,6379
LEAPCLOUDARON GROUP BERHAD,Yes,Digital Services,6413
MAINCME GROUP BERHAD,Yes,Industrial Services,8651
MAINCAHYA MATA SARAWAK BERHAD,Yes,Building Materials,7208
MAINCN ASIA CORPORATION BHD,No,"Industrial Materials, Components & Equipment",2865
ACECNERGENZ BERHAD,Yes,Technology Equipment,7456
MAINCITRA NUSA HOLDINGS BERHAD,Yes,Consumer Services,4363
MAINCHINA OUHUA WINERY HOLDINGS LIMITED,No,Food & Beverages,7492
MAINCOASTAL CONTRACTS BHD,No,"Energy Infrastructure, Equipment & Services",5729
