Market_Cap,Last_Price,Price–earnings_ratio,Dividend_yield,Return_on_equity,Company_Key,Stock_Key
165.16m,0.21,-,6.10,-,3761,2557
290.60m,1.20,25.70,0.00,7.66,4677,4984
452.20m,1.19,5.80,11.76,8.65,5132,7080
48.35m,0.04,-,0.00,-2.01,1420,5526
3.095b,1.34,52.96,0.88,11.50,6870,8565
188.98m,0.20,-,0.00,-12.18,8078,7611
88.00m,0.88,31.65,5.68,0.67,3468,6996
52.53m,0.32,31.37,0.00,1.67,3038,1872
64.00m,0.64,24.06,1.56,4.17,7316,2937
253.50m,0.43,3.73,0.00,5.34,5327,4609
4.986b,4.03,48.38,0.37,12.95,7741,1859
163.74m,0.37,10.22,5.41,8.23,5231,2213
118.07m,0.18,-,0.00,-10.42,7617,6530
1.285b,1.11,-,1.35,-15.38,8413,2419
156.85m,0.48,-,0.00,-11.88,8618,8268
277.07m,0.69,10.45,3.19,7.10,2640,5692
116.45m,0.07,-,0.00,0.00,7274,5181
44.35m,0.42,75.00,0.00,1.01,5166,3029
52.20m,0.07,87.50,0.00,0.02,2715,3857
26.79m,0.02,-,0.00,-7.05,8095,3020
11.235b,1.99,22.11,1.56,10.04,3899,8286
26.280b,3.38,24.48,4.41,197.29,3883,7725
33.22m,0.10,-,0.00,-210.00,1370,4540
301.80m,100.60,-,0.00,-,8560,8933
102.50m,102.50,-,0.00,-,1581,6716
203.94m,2.20,15.66,1.36,3.12,9714,3818
712.61m,4.52,6.95,2.43,13.02,9838,3030
1.985b,31.02,8.07,1.61,60.14,7667,5498
2.415b,0.77,4.39,0.78,29.51,1718,9604
31.94m,0.09,-,0.00,-,5839,2017
8.86m,0.02,-,0.00,-371.00,5077,5130
26.76m,0.02,-,0.00,-52.27,7000,8658
148.72m,0.90,4.97,5.56,8.62,6297,8970
1.238b,1.30,17.86,1.67,10.87,7023,6515
138.72m,0.19,26.76,2.11,6.45,2318,7711
67.01m,0.10,17.92,0.00,2.41,4513,4116
2.533b,1.31,30.97,1.53,1.12,3011,2636
1.377b,0.47,49.47,1.27,7.77,2830,5674
281.64m,0.90,-,0.00,-,9153,7612
1.397b,2.57,16.29,2.72,24.66,3152,4916
219.99m,0.26,-,3.85,-3.69,2132,4345
54.00m,0.50,-,2.40,-,9891,1800
649.76m,0.44,9.09,0.00,4.00,4637,6631
64.52m,0.01,-,0.00,-11.50,1416,4202
34.48m,0.07,0.43,0.00,759.00,9481,3004
81.59m,0.17,-,0.00,-1.88,6598,6157
417.52m,0.36,-,0.00,-2.07,7350,9760
34.42m,0.09,-,0.00,-11.09,7186,5906
281.75m,0.81,41.93,0.62,21.33,5243,3841
248.06m,0.18,-,0.00,-10.25,7510,7190
1.796b,0.61,9.06,6.56,4.15,6279,3384
33.00m,0.55,63.22,3.18,1.79,3690,1743
78.10m,0.17,50.00,0.00,0.49,1434,2857
956.37m,1.15,19.20,2.61,3.22,5091,3676
45.69m,0.02,-,0.00,-26.00,2773,2365
124.10m,0.18,-,0.00,-2.18,9012,9500
226.55m,0.41,21.09,3.70,10.11,2729,6369
206.38m,0.64,24.80,0.79,13.76,8475,1770
195.98m,0.47,19.26,0.00,2.52,3765,3519
100.30m,0.30,-,0.00,-,6037,8795
78.27m,0.33,-,3.03,-0.43,1774,4104
191.18m,0.74,8.77,4.08,10.35,3251,1690
876.14m,0.33,-,0.00,-5.21,4418,1732
100.17m,0.61,-,0.00,-8.29,3403,3230
403.27m,1.33,10.51,3.95,8.44,3959,7094
423.59m,0.63,25.41,2.40,15.38,1005,6904
183.18m,0.66,5.30,0.00,8.30,6880,6751
36.35m,0.30,-,0.00,-1.46,1355,3427
66.50m,0.21,-,0.00,-3.25,6190,5419
65.10m,0.14,-,0.50,-,7726,8388
43.11m,0.37,-,0.00,-10.60,7865,8417
257.13m,0.58,3.38,1.72,9.27,1501,4988
96.71m,0.71,43.29,10.42,2.05,1763,8855
247.22m,1.13,-,0.00,-1.98,8127,9909
46.92m,0.20,-,4.10,-4.56,4994,8217
111.13m,0.21,2.29,21.43,35.35,2257,3116
36.83m,0.15,-,0.00,-,2694,4186
103.04m,0.81,3.60,1.86,6.71,2251,2829
61.73m,0.07,-,0.00,-32.36,3992,3832
51.53m,1.16,-,0.00,-11.76,2706,5510
83.24m,0.21,-,0.00,-,6482,8695
300.48m,0.36,5.21,4.23,5.36,9489,2359
90.48m,0.30,28.04,1.67,1.29,1989,2198
624.00m,0.26,-,23.08,-7.73,6436,6779
7.922b,21.60,23.10,2.78,11.84,2705,3904
93.68m,1.10,12.84,0.00,3.39,5717,7193
212.24m,0.29,23.55,3.51,2.30,6732,4228
2.185b,3.68,9.33,3.53,17.00,7564,8755
41.26m,0.25,-,0.00,-4.48,8480,5127
19.05m,0.16,-,0.00,-25.38,5388,3711
364.11m,1.55,9.68,54.84,6.40,7745,2139
65.88m,0.31,-,7.54,-,4506,4146
259.99m,1.04,10.79,0.00,11.76,2953,1811
2.991b,1.61,-,0.66,-,4502,7246
5.144b,1.41,3.20,5.67,27.54,2113,8673
524.65m,0.99,15.89,3.23,5.66,5518,3395
33.81m,0.35,10.00,2.46,6.16,6636,6851
73.74m,0.53,5.60,0.95,10.14,6670,6015
458.64m,1.87,6.57,8.02,11.43,9995,3667
59.23m,0.01,-,0.00,-34.76,5198,4004
46.56m,0.08,-,0.00,-,3290,2905
146.44m,1.29,4.49,6.20,15.97,9682,2105
59.78m,0.21,42.86,4.76,490.00,3336,2873
295.98m,0.53,6.50,7.55,12.55,6919,5530
95.58m,0.02,-,0.00,-,5439,4521
242.55m,0.74,8.95,2.72,31.10,3607,5965
312.61m,0.58,25.33,2.61,11.88,2003,1790
764.07m,2.99,7.15,6.69,25.02,4122,4784
4.345b,2.75,37.62,1.45,22.15,2432,6711
37.33m,0.21,-,0.00,-105.00,6540,8623
72.57m,0.03,-,0.00,-23.50,3175,7043
222.06m,0.31,5.34,2.30,5.01,3114,9742
10.183b,3.93,12.63,3.05,8.02,8589,2007
4.173b,3.25,12.63,5.44,28.37,3760,3335
152.30m,0.28,7.98,0.00,3.86,7843,6161
150.72m,0.47,-,0.00,-6.51,1205,4918
2.460b,2.19,13.40,1.83,12.06,7011,1867
63.04m,0.32,-,0.00,-0.80,4057,4721
159.38m,0.17,6.09,8.24,17.44,8515,6489
648.76m,0.12,-,1.74,-,1840,4343
1.609b,2.36,24.13,0.00,39.12,9507,8810
16.567b,2.79,-,3.23,-1.82,7891,8892
5.151b,5.74,8.53,5.23,11.39,7973,3753
17.368b,4.48,-,2.46,-2.29,6894,7650
97.37m,0.89,10.08,0.00,8.28,7350,1951
83.43m,0.15,8.48,1.17,7.12,6736,1794
878.95m,0.77,34.38,0.00,4.92,3121,5429
41.39m,0.07,-,0.00,-,2823,9656
276.00m,0.49,9.51,5.10,5.00,7003,2794
74.68m,0.34,-,0.00,-5.69,6519,7154
224.03m,0.28,5.61,5.36,3.33,4814,6689
122.45m,0.46,7.39,6.59,6.16,6280,7102
107.05m,0.29,7.00,3.51,3.99,7275,2576
4.33m,0.02,4.29,0.00,-,8287,3264
115.94m,0.26,5.86,0.00,7.50,8078,9207
31.67m,0.02,-,0.00,-17.68,9238,8842
53.47m,2.46,-,0.00,-,6350,7256
161.40m,0.40,-,3.75,-0.94,4376,5973
56.11m,0.04,-,0.00,-191.60,4295,2314
25.99m,0.19,5.39,4.86,7.00,6644,3003
45.76m,0.30,-,0.00,-,3287,2892
4.332b,3.46,39.10,0.00,22.75,1399,3129
66.75m,0.20,11.49,1.50,8.53,5532,5098
783.25m,1.17,14.29,6.41,18.20,6145,2037
124.72m,0.45,12.86,0.00,1.98,5868,4893
462.30m,0.66,17.60,3.03,1.91,2475,3871
60.63m,0.34,11.15,1.65,6.93,1878,6415
31.29m,0.13,-,0.00,-52.78,4498,3438
15.237b,6.12,15.69,5.72,12.91,9267,2826
428.43m,1.07,2.89,2.34,24.16,2417,7968
401.35m,5.86,7.72,5.12,13.04,8682,5600
375.59m,1.77,-,0.00,-3.39,3012,6246
5.690b,1.66,5.35,34.34,20.83,4185,2371
96.25m,0.13,-,0.00,-20.20,5860,5880
977.33m,2.15,2150.00,0.00,0.19,4535,8260
7.214b,23.88,20.83,3.39,87.51,8584,1975
249.77m,0.53,-,5.09,-2.92,4490,8097
