Stock_Short_Name,Stock_Code,Market_Name,Stock_Key
GKENT,3204,MAIN,2794
GLBHD,7382,MAIN,7154
GLOMAC,5020,MAIN,6689
GLOTEC,5220,ACE,7102
GMUTUAL,9962,MAIN,2576
GNB,0045,ACE,3264
GOB,1147,ETF,9207
GOCEAN,0074,MAIN,8842
GOLDETF,0828EA,MAIN,7256
GOPENG,2135,MAIN,5973
GPACKET,0082,LEAP,2314
GPHAROS,5649,MAIN,3003
GPP,03029,MAIN,2892
GREATEC,0208,MAIN,3129
GREENYB,0136,MAIN,5098
GTRONIC,7022,MAIN,2037
GUH,3247,ACE,4893
GUOCO,1503,MAIN,3871
HAILY,0237,MAIN,6415
HANDAL,7253,MAIN,3438
HAPSENG,3034,MAIN,2826
HARBOUR,2062,MAIN,7968
HARISON,5008,MAIN,5600
HARNLEN,7501,MAIN,6246
HARTA,5168,MAIN,2371
HBGLOB,5187,MAIN,5880
HCK,7105,MAIN,8260
HEIM,3255,MAIN,1975
HEKTAR,5121,MAIN,8097
HENGYUAN,4324,MAIN,3761
HEVEA,5095,ACE,3831
HEXCARE,7803,MAIN,9921
HEXIND,0161,MAIN,7965
HEXTAR,5151,MAIN,8708
HEXTECH,5136,ACE,8179
HEXZA,3298,ACE,9112
HHGROUP,0175,MAIN,8460
HHHCORP,0160,MAIN,9450
HIAPTEK,5072,MAIN,6784
HIBISCS,5199,MAIN,7567
HIGHTEC,7033,MAIN,9732
HIL,8443,MAIN,6890
HLBANK,5819,MAIN,2181
HLCAP,5274,MAIN,5547
HLFG,1082,ACE,4935
HLIND,3301,ACE,5110
HLT,0188,MAIN,8788
HM,0060,MAIN,6307
HOHUP,5169,MAIN,6238
HOMERIZ,5160,MAIN,5156
HONGSENG,0041,ACE,7895
HPMT,5291,MAIN,7568
HPPHB,0228,MAIN,9798
HSPLANT,5138,MAIN,6614
HSSEB,0185,MAIN,5537
HTPADU,5028,MAIN,4544
HUAYANG,5062,MAIN,3194
HUBLINE,7013,MAIN,7277
HUMEIND,5000,MAIN,6887
HUPSENG,5024,MAIN,6446
HWATAI,8478,MAIN,7166
HWGB,9601,MAIN,9597
IBHD,4251,MAIN,5183
IBRACO,5084,MAIN,4513
ICAP,5108,MAIN,2586
ICON,5255,LEAP,2203
ICONIC,9113,LEAP,2896
ICTZONE,03038,MAIN,4605
IDBTECH,03030,ACE,2765
IDEAL,9687,MAIN,5289
IFCAMSC,0023,MAIN,3730
IGBB,5606,MAIN,8025
IGBCR,5299,MAIN,9945
IGBREIT,5227,MAIN,9637
IHB,7240,MAIN,6215
IHH,5225,MAIN,1965
IHS046000824,0401GA,MAIN,2474
IJM,3336,MAIN,8628
ILB,5614,MAIN,2129
IMASPRO,7222,MAIN,9329
IMPIANA,7243,ACE,4699
INARI,0166,MAIN,4422
INCKEN,2607,MAIN,5437
INFOTEC,0253,ACE,8278
INGENIEU,5178,MAIN,1827
INNATURE,5295,MAIN,2596
INNITY,0147,MAIN,6966
INNO,6262,MAIN,7425
INSAS,3379,MAIN,9560
INTA,0192,MAIN,6638
IOICORP,1961,MAIN,4659
IOIPG,5249,MAIN,2783
IQGROUP,5107,ACE,9194
IQZAN,7183,MAIN,4802
IREKA,8834,MAIN,5610
IRIS,0010,MAIN,6827
ITRONIC,9393,MAIN,5586
IVORY,5175,MAIN,5729
IWCITY,1589,ACE,6946
JADEM,7043,MAIN,3392
JADI,7223,MAIN,2113
JAG,0024,MAIN,3120
JAKS,4723,MAIN,4238
JASKITA,8648,MAIN,6191
JAYCORP,7152,MAIN,4752
JCBNEXT,0058,MAIN,7478
JCY,5161,ACE,3819
JERASIA,8931,MAIN,4268
JETSON,9083,MAIN,2069
JFTECH,0146,LEAP,7756
JHM,0127,MAIN,6450
JIANKUN,8923,MAIN,5988
JISHAN,03040,MAIN,7768
JKGLAND,6769,MAIN,7419
JOE,7096,MAIN,4007
JOHAN,3441,ACE,2883
JSB,5673,MAIN,6852
JTIASA,4383,MAIN,3662
K1,0111,ACE,5548
KAB,0193,MAIN,3214
KAMDAR,8672,MAIN,8655
KANGER,0170,MAIN,9311
KAREX,5247,MAIN,6104
KARYON,0054,MAIN,3204
KAWAN,7216,MAIN,6740
KEINHIN,7199,MAIN,3961
KEN,7323,MAIN,4786
KENANGA,6483,MAIN,4805
KERJAYA,7161,MAIN,6431
KESM,9334,MAIN,9380
KEYASIC,0143,ACE,4776
KFIMA,6491,MAIN,5194
KGB,0151,MAIN,9067
KGROUP,0036,ACE,3083
KHEESAN,6203,MAIN,5180
KHIND,7062,MAIN,4921
KHJB,0210,MAIN,3712
KIALIM,6211,MAIN,9909
KIMHIN,5371,MAIN,3505
KIMLUN,5171,MAIN,6416
KIPREIT,5280,ETF,4062
KKB,9466,ETF,1741
KLCC,5235SS,MAIN,3521
KLCI1XI,0835EA,MAIN,1574
KLCI2XL,0834EA,MAIN,3415
KLK,2445,MAIN,6016
KLUANG,2453,MAIN,7090
KMLOONG,5027,MAIN,5059
KNM,7164,MAIN,1948
KNUSFOR,5035,MAIN,7399
KOBAY,6971,MAIN,6086
KOMARK,7017,MAIN,3583
KOSSAN,7153,MAIN,4185
KOTRA,0002,MAIN,9468
KPJ,5878,MAIN,6318
KPPROP,7077,MAIN,3817
KPS,5843,ACE,9520
KPSCB,9121,MAIN,2270
KRETAM,1996,MAIN,8441
KRONO,0176,MAIN,8454
KSENG,3476,MAIN,8094
KSL,5038,ACE,7060
KSSC,5192,MAIN,8006
KTB,4847,MAIN,8724
KTC,0180,MAIN,3010
KUB,6874,MAIN,5243
KUCHAI,2186,MAIN,4338
KYM,8362,ACE,2712
L&G,3174,MAIN,2286
LAGENDA,7179,MAIN,9868
LAMBO,0018,MAIN,7387
LANDMRK,1643,MAIN,9561
LAYHONG,9385,MAIN,6191
LBALUM,9326,MAIN,3933
LBICAP,8494,MAIN,6003
LBS,5789,MAIN,6098
LCTITAN,5284,MAIN,4122
LEBTECH,9628,MAIN,9178
LEESK,8079,ACE,6423
LEONFB,5232,MAIN,7404
LFECORP,7170,MAIN,3010
LGMS,0249,MAIN,6974
LHI,6633,MAIN,8012
LIENHOE,3573,MAIN,8314
LIIHEN,7089,MAIN,8039
LIONIND,4235,ACE,3736
LIONPSIM,8486,MAIN,5037
LITRAK,6645,MAIN,5622
LKL,0182,LEAP,5456
LOTUS,8303,MAIN,5002
LPI,8621,MAIN,6551
LSH,03047,MAIN,8377
LSTEEL,9881,MAIN,2631
LTKM,7085,ACE,5861
LUSTER,5068,MAIN,7516
LUXCHEM,5143,MAIN,5647
LYC,0075,MAIN,8879
LYSAGHT,9199,ACE,9891
M&G,5078,MAIN,5366
MAA,1198,MAIN,9013
MAG,0095,MAIN,7382
MAGNA,7617,MAIN,7644
MAGNI,7087,MAIN,5067
MAGNUM,3859,MAIN,7869
MAHSING,8583,MAIN,5029
MALAKOF,5264,MAIN,6556
MALPAC,4936,MAIN,8058
MALTON,6181,MAIN,4424
MANULFE,1058,MAIN,4567
MARCO,3514,ACE,6677
MASTEEL,5098,MAIN,7692
MASTER,7029,MAIN,1765
MATANG,0189,MAIN,2791
MATRIX,5236,MAIN,7232
MAXIM,4022,MAIN,3924
MAXIS,6012,MAIN,4668
MAYBANK,1155,MAIN,2948
MAYBULK,5077,MAIN,9886
MBL,5152,MAIN,3165
MBMR,5983,MAIN,8712
MBRIGHT,2097,MAIN,6599
MBSB,1171,ACE,9076
MCEHLDG,7004,LEAP,5397
MCEMENT,3794,MAIN,6869
MCLEAN,0167,MAIN,8460
MCOM,03022,MAIN,7532
MCT,5182,ACE,3492
MEDIA,4502,MAIN,5757
MEDIAC,5090,MAIN,6061
MEGASUN,0081,MAIN,6919
MELATI,5129,MAIN,9515
MELEWAR,3778,MAIN,2937
MENANG,1694,MAIN,7792
MENTIGA,5223,MAIN,8023
MERCURY,8192,ACE,6199
MERIDIAN,5040,ETF,3486
MESB,7234,ETF,9309
MESTRON,0207,MAIN,9231
METFSID,0825EA,MAIN,7423
METFUS50,0827EA,LEAP,7568
METROD,6149,MAIN,5686
MFCB,3069,MAIN,5035
MFGROUP,03015,ACE,2193
MFLOUR,3662,MAIN,2351
MGB,7595,MAIN,7703
MGRC,0155,LEAP,9594
MHB,5186,MAIN,1913
MHC,5026,ACE,4243
MHCARE,03005,MAIN,9511
MI,5286,ACE,7087
MICROLN,0126,MAIN,8894
MIECO,5001,MAIN,4384
MIKROMB,0112,MAIN,8838
MILUX,7935,MAIN,3807
MINDA,5166,MAIN,6854
MINETEC,7219,MAIN,2417
MINHO,5576,MAIN,9697
MISC,3816,MAIN,5928
MITRA,9571,MAIN,2268
MJPERAK,8141,ACE,8113
MKH,6114,ACE,5259
MKLAND,8893,LEAP,3252
MLAB,0085,MAIN,8902
MMAG,0034,ACE,4350
MMIS,03027,ACE,1934
MMSV,0113,MAIN,5695
MNC,0103,ACE,1572
MNHLDG,0245,ACE,7968
MNRB,6459,MAIN,1826
MOBILIA,0229,MAIN,1847
MPAY,0156,MAIN,2251
MPCORP,6548,LEAP,8863
MPHBCAP,5237,ACE,1892
MPI,3867,MAIN,2898
MPSOL,03019,MAIN,9882
MQTECH,0070,MAIN,1850
MRCB,1651,MAIN,3947
MRDIY,5296,MAIN,7563
MSC,5916,ACE,8386
MSM,5202,ACE,8962
MSNIAGA,5011,MAIN,7234
MTAG,0213,MAIN,8076
MTOUCHE,0092,MAIN,8429
MTRONIC,0043,MAIN,5506
MUDA,3883,MAIN,9711
MUDAJYA,5085,MAIN,8320
MUH,9539,MAIN,7192
MUHIBAH,5703,MAIN,3852
MUIIND,3891,MAIN,2661
MUIPROP,3913,MAIN,6318
MULPHA,3905,ETF,9250
MYCRON,5087,ETF,4909
MYEG,0138,MAIN,4955
MYETFDJ,0821EA,MAIN,1975
MYETFID,0824EA,ACE,1625
MYNEWS,5275,ACE,5587
MYTECH,7692,MAIN,5362
N2N,0108,MAIN,6503
NADIBHD,0206,ACE,4469
NAIM,5073,MAIN,3100
NCT,0056,ACE,3534
NESTCON,0235,ACE,4689
NESTLE,4707,MAIN,7021
NETX,0020,MAIN,6669
NEXGRAM,0096,MAIN,2169
NGGB,7241,MAIN,8483
NHFATT,7060,MAIN,9594
NICE,7139,MAIN,8249
NIHSIN,7215,ACE,3491
NOTION,0083,LEAP,1575
NOVA,0201,MAIN,8779
NOVAMSC,0026,LEAP,2097
NP,03045,MAIN,4691
NPC,5047,MAIN,1907
NPS,03006,MAIN,7610
NSOP,2038,MAIN,6166
NTPM,5066,MAIN,2563
NWP,5025,MAIN,1741
NYLEX,4944,MAIN,3292
OCB,5533,MAIN,1783
OCK,0172,MAIN,1839
OCNCASH,0049,MAIN,2352
OCR,7071,MAIN,2140
OFI,7107,MAIN,9634
OIB,5827,MAIN,2891
OKA,7140,MAIN,8561
OLYMPIA,3018,MAIN,7690
OMESTI,9008,ACE,1619
OMH,5298,ACE,5622
ONEGLOVE,5079,ACE,1943
OPCOM,0035,ACE,3202
OPENSYS,0040,MAIN,3767
OPTIMAX,0222,MAIN,9847
ORGABIO,0252,MAIN,2078
ORIENT,4006,ACE,4721
ORNA,5065,ACE,7070
OSK,5053,ACE,3973
OSKVI,0053,MAIN,2905
OVERSEA,0153,MAIN,8629
OVH,0220,MAIN,7777
OWG,5260,MAIN,9158
P&O,6009,MAIN,4381
PA,7225,MAIN,4910
PADINI,7052,MAIN,6857
PANAMY,3719,MAIN,5258
PANSAR,8419,MAIN,4005
PANTECH,5125,MAIN,2783
PAOS,5022,MAIN,2082
PARAGON,9407,MAIN,4311
PARAMON,1724,ACE,5854
PARKSON,5657,MAIN,8618
PARKWD,2682,ACE,1766
PARLO,0022,MAIN,9558
PASDEC,6912,MAIN,4450
PASUKGB,0177,MAIN,8649
PAVREIT,5212,MAIN,6242
PBA,5041,MAIN,3827
PBBANK,1295,MAIN,4105
PCCS,6068,MAIN,8353
PCHEM,5183,MAIN,7337
PDZ,6254,ACE,4731
PEB,5622,MAIN,7342
PECCA,5271,MAIN,2280
PEKAT,0233,MAIN,7037
PELIKAN,5231,MAIN,1913
PENERGY,5133,MAIN,9254
PENSONI,9997,MAIN,5397
PENTA,7160,MAIN,7638
PERDANA,7108,MAIN,4484
PERMAJU,7080,MAIN,8365
PERSTIM,5436,MAIN,5833
PERTAMA,8532,MAIN,7066
PESONA,8311,MAIN,2219
PESTECH,5219,MAIN,3444
PETDAG,5681,MAIN,4956
PETGAS,6033,MAIN,4249
PETRONM,3042,MAIN,5121
PGB,0091,MAIN,8894
PGF,8117,MAIN,4334
PGLOBE,3611,MAIN,9520
PHARMA,7081,MAIN,2236
PHB,4464,ACE,3727
PICORP,7201,MAIN,7848
PIE,7095,MAIN,5951
PINEAPP,0006,ACE,4254
PINEPAC,1902,MAIN,2093
PJBUMI,7163,MAIN,3639
PLABS,0171,MAIN,9545
PLB,7055,MAIN,8389
PLENITU,5075,MAIN,6890
PLS,9695,MAIN,7518
PMBTECH,7172,MAIN,7319
PMCORP,4081,MAIN,3161
PMETAL,8869,MAIN,2009
PMHLDG,1287,MAIN,7540
PNEPCB,6637,LEAP,8515
POHKONG,5080,MAIN,2667
POHUAT,7088,MAIN,5723
POLYDM,03031,MAIN,3177
POS,4634,ACE,1655
PPB,4065,MAIN,3668
PPHB,8273,MAIN,5483
PPJACK,0242,ACE,2712
PRESTAR,9873,MAIN,6204
PRG,7168,MAIN,4686
PRIVA,0123,MAIN,3456
PRKCORP,8346,MAIN,2613
PRLEXUS,8966,MAIN,5666
PRTASCO,5070,ACE,1954
PTARAS,9598,MAIN,7937
PTRANS,0186,ACE,5268
PTRB,0260,MAIN,5200
PTT,7010,MAIN,7166
PUC,0007,MAIN,7546
PUNCAK,6807,MAIN,2845
PWF,7134,ACE,4873
PWORTH,7123,ACE,2550
PWROOT,7237,MAIN,2445
PWRWELL,0217,MAIN,4631
QES,0196,MAIN,2256
QL,7084,ACE,4553
QUALITY,7544,MAIN,1695
RALCO,7498,MAIN,5557
RAMSSOL,0236,MAIN,9469
RANHILL,5272,MAIN,7205
RAPID,7765,LEAP,5234
RCECAP,9296,ACE,6141
REACH,5256,MAIN,8527
REDIDEA,03002,MAIN,7757
REDTONE,0032,MAIN,6461
RENEUCO,7130,MAIN,5381
RESINTC,7232,ACE,9707
REVENUE,0200,MAIN,8836
REX,9946,LEAP,5930
REXIT,0106,MAIN,9802
RGB,0037,ACE,9810
RGS,03052,MAIN,5780
RGTBHD,9954,MAIN,5861
RGTECH,0202,MAIN,9444
RHBBANK,1066,MAIN,3093
RHONEMA,5278,MAIN,9795
RKI,7006,LEAP,3892
RL,0219,MAIN,3061
ROHAS,9741,MAIN,2967
RPLANET,03036,LEAP,6785
RSAWIT,5113,MAIN,5694
RSENA,5270,MAIN,7669
RTSTECH,03039,MAIN,6892
RVIEW,2542,LEAP,8505
S&FCAP,8745,MAIN,6139
SAB,5134,MAIN,1933
SAFETY,03056,MAIN,1955
SALCON,8567,ACE,6910
SALUTE,0183,MAIN,6017
SAM,9822,ACE,2361
SAMAIDEN,0223,MAIN,3421
SAMCHEM,5147,MAIN,8299
SANICHI,0133,MAIN,9821
SAPIND,7811,MAIN,2709
SAPNRG,5218,MAIN,7608
SAPRES,4596,MAIN,7381
SASBADI,5252,MAIN,5135
SAUDEE,5157,MAIN,5027
SBAGAN,2569,ACE,3931
SBCCORP,5207,ACE,6903
SCABLE,5170,MAIN,8722
SCBUILD,0109,MAIN,9642
SCC,0158,MAIN,4189
SCGBHD,0225,MAIN,9564
SCGM,7247,MAIN,5617
SCIB,9237,MAIN,9617
SCICOM,0099,MAIN,8681
SCIENTX,4731,MAIN,2262
SCIPACK,8125,MAIN,5841
SCNWOLF,7239,ACE,2174
SCOMI,7158,ACE,2223
SCOMIES,7045,MAIN,2649
SCOMNET,0001,ACE,8337
SCOPE,0028,MAIN,7013
SDRED,2224,MAIN,9515
SDS,0212,MAIN,7141
SEACERA,7073,MAIN,5153
SEAL,4286,ACE,6846
SEALINK,5145,MAIN,7009
SEB,5163,LEAP,5669
SEDANIA,0178,MAIN,4853
SEEHUP,7053,MAIN,3983
SEERS,03009,MAIN,4839
SEG,9792,MAIN,7823
SEM,5250,MAIN,6002
SENDAI,5205,MAIN,6690
SENFONG,5308,MAIN,3505
SENHENG,5305,MAIN,4951
SENTRAL,5123,ACE,5639
SERBADK,5279,ACE,7460
SERNKOU,7180,LEAP,2978
SERSOL,0055,MAIN,4605
SFPTECH,0251,MAIN,7440
SGBHD,03033,MAIN,5520
SHANG,5517,MAIN,9346
SHCHAN,4316,ACE,3071
SHH,7412,MAIN,8799
SHL,6017,MAIN,9405
SIAB,0241,MAIN,6557
SIGN,7246,MAIN,8378
SIME,4197,MAIN,8153
SIMEPLT,5285,MAIN,5734
SIMEPROP,5288,MAIN,9397
SINARAN,5172,LEAP,1767
SJC,9431,MAIN,3331
SKBSHUT,7115,LEAP,5181
SKHAWK,03049,MAIN,1756
SKPRES,7155,MAIN,2203
SLIC,03008,MAIN,6723
SLP,7248,ACE,5760
SLVEST,0215,MAIN,7499
SMCAP,9776,LEAP,3303
SMETRIC,0203,MAIN,4917
SMI,4375,ACE,6611
SMILE,03023,ACE,4790
SMISCOR,7132,MAIN,1596
SMRT,0117,LEAP,2062
SMTRACK,0169,ACE,4607
SNC,7943,MAIN,2443
SNOWFIT,03054,MAIN,8589
SNS,0259,ACE,5355
SNTORIA,5213,MAIN,2708
SOLID,5242,ACE,1544
SOLUTN,0093,MAIN,2227
SOP,5126,MAIN,1618
SPRING,0216,MAIN,3907
